product_id,name,description,price,currency,rating,review_count,availability,category,scraped_at,snapshot_time
1000,Frido Max Wheelchair,Frido Max Wheelchair - High quality wheelchairs product designed for comfort and usability.,11380.71,INR,3.5,76,Limited Stock,Wheelchairs,2025-06-30T08:56:05.304251,2025-07-06T08:59:04.015743
1001,Wheelchair Gloves,Wheelchair Gloves - High quality mobility accessories product designed for comfort and usability.,9265.9,INR,3.1,52,In Stock,Mobility Accessories,2025-06-22T08:56:05.304281,2025-07-06T08:59:04.015743
1002,Anti-Tip Wheels,Anti-Tip Wheels - High quality mobility accessories product designed for comfort and usability.,1370.5,INR,3.4,337,Limited Stock,Mobility Accessories,2025-06-02T08:56:05.304296,2025-07-06T08:59:04.015743
1003,Memory Foam Seat Cushion,Memory Foam Seat Cushion - High quality support cushions product designed for comfort and usability.,7287.93,INR,3.6,450,In Stock,Support Cushions,2025-05-19T08:56:05.304309,2025-07-06T08:59:04.015743
1004,Comfort Bath Seat,Comfort Bath Seat - High quality bathroom aids product designed for comfort and usability.,6915.6,INR,3.6,115,Out of Stock,Bathroom Aids,2025-06-30T08:56:05.304328,2025-07-06T08:59:04.015743
1005,FoldX Travel Wheelchair,FoldX Travel Wheelchair - High quality wheelchairs product designed for comfort and usability.,2353.03,INR,4.7,314,Out of Stock,Wheelchairs,2025-05-16T08:56:05.304346,2025-07-06T08:59:04.015743
1006,FoldX Travel Wheelchair,FoldX Travel Wheelchair - High quality wheelchairs product designed for comfort and usability.,8506.19,INR,4.9,198,In Stock,Wheelchairs,2025-06-01T08:56:05.304364,2025-07-06T08:59:04.015743
1007,Deluxe Walking Frame,Deluxe Walking Frame - High quality walking aids product designed for comfort and usability.,9658.28,INR,4.7,300,In Stock,Walking Aids,2025-05-22T08:56:05.304386,2025-07-06T08:59:04.015743
1008,Frido Max Wheelchair,Frido Max Wheelchair - High quality wheelchairs product designed for comfort and usability.,10256.69,INR,4.5,45,In Stock,Wheelchairs,2025-05-12T08:56:05.304405,2025-07-06T08:59:04.015743
1009,FoldX Travel Wheelchair,FoldX Travel Wheelchair - High quality wheelchairs product designed for comfort and usability.,4890.63,INR,4.3,191,In Stock,Wheelchairs,2025-06-13T08:56:05.304421,2025-07-06T08:59:04.015743
1010,Stability Walker,Stability Walker - High quality walking aids product designed for comfort and usability.,10381.45,INR,4.4,354,Limited Stock,Walking Aids,2025-07-02T08:56:05.304439,2025-07-06T08:59:04.015743
1011,Anti-Tip Wheels,Anti-Tip Wheels - High quality mobility accessories product designed for comfort and usability.,3394.94,INR,4.5,88,Out of Stock,Mobility Accessories,2025-06-12T08:56:05.304455,2025-07-06T08:59:04.015743
1012,Deluxe Walking Frame,Deluxe Walking Frame - High quality walking aids product designed for comfort and usability.,10633.27,INR,3.4,171,In Stock,Walking Aids,2025-06-22T08:56:05.304469,2025-07-06T08:59:04.015743
1013,Mobility Master Pro,Mobility Master Pro - High quality wheelchairs product designed for comfort and usability.,6615.31,INR,3.1,472,Limited Stock,Wheelchairs,2025-05-11T08:56:05.304480,2025-07-06T08:59:04.015743
1014,Stability Walker,Stability Walker - High quality walking aids product designed for comfort and usability.,10175.14,INR,3.8,473,Limited Stock,Walking Aids,2025-06-07T08:56:05.304496,2025-07-06T08:59:04.015743
1015,Frido Commode Wheelchair,Frido Commode Wheelchair - High quality bathroom aids product designed for comfort and usability.,2953.82,INR,4.5,280,Out of Stock,Bathroom Aids,2025-05-20T08:56:05.304511,2025-07-06T08:59:04.015743
1016,Seat Belt Extension,Seat Belt Extension - High quality mobility accessories product designed for comfort and usability.,13568.52,INR,3.8,117,In Stock,Mobility Accessories,2025-06-04T08:56:05.304521,2025-07-06T08:59:04.015743
1017,Memory Foam Seat Cushion,Memory Foam Seat Cushion - High quality support cushions product designed for comfort and usability.,11579.95,INR,4.7,83,Limited Stock,Support Cushions,2025-06-26T08:56:05.304531,2025-07-06T08:59:04.015743
1018,Comfort Ring Pillow,Comfort Ring Pillow - High quality support cushions product designed for comfort and usability.,1888.39,INR,3.8,244,Limited Stock,Support Cushions,2025-06-20T08:56:05.304542,2025-07-06T08:59:04.015743
1019,Wheelchair Gloves,Wheelchair Gloves - High quality mobility accessories product designed for comfort and usability.,10522.97,INR,3.2,458,Limited Stock,Mobility Accessories,2025-05-19T08:56:05.304551,2025-07-06T08:59:04.015743
1020,Deluxe Walking Frame,Deluxe Walking Frame - High quality walking aids product designed for comfort and usability.,5761.46,INR,3.6,85,Out of Stock,Walking Aids,2025-07-06T08:56:05.304561,2025-07-06T08:59:04.015743
1021,Deluxe Walking Frame,Deluxe Walking Frame - High quality walking aids product designed for comfort and usability.,11666.47,INR,4.0,59,Limited Stock,Walking Aids,2025-06-17T08:56:05.304571,2025-07-06T08:59:04.015743
1022,Anti-Tip Wheels,Anti-Tip Wheels - High quality mobility accessories product designed for comfort and usability.,3783.76,INR,3.7,87,Limited Stock,Mobility Accessories,2025-05-18T08:56:05.304580,2025-07-06T08:59:04.015743
1023,Wheelchair Gloves,Wheelchair Gloves - High quality mobility accessories product designed for comfort and usability.,9384.22,INR,4.0,62,Out of Stock,Mobility Accessories,2025-05-11T08:56:05.304590,2025-07-06T08:59:04.015743
1024,Stability Walker,Stability Walker - High quality walking aids product designed for comfort and usability.,1809.95,INR,4.8,489,In Stock,Walking Aids,2025-07-01T08:56:05.304600,2025-07-06T08:59:04.015743
1025,Memory Foam Seat Cushion,Memory Foam Seat Cushion - High quality support cushions product designed for comfort and usability.,14690.78,INR,4.1,69,In Stock,Support Cushions,2025-05-25T08:56:05.304612,2025-07-06T08:59:04.015743
1026,Comfort Ring Pillow,Comfort Ring Pillow - High quality support cushions product designed for comfort and usability.,3310.78,INR,4.1,315,Out of Stock,Support Cushions,2025-06-23T08:56:05.304627,2025-07-06T08:59:04.015743
1027,Anti-Tip Wheels,Anti-Tip Wheels - High quality mobility accessories product designed for comfort and usability.,10657.15,INR,4.4,209,Limited Stock,Mobility Accessories,2025-05-26T08:56:05.304643,2025-07-06T08:59:04.015743
1028,Foldable Cane,Foldable Cane - High quality walking aids product designed for comfort and usability.,13593.6,INR,3.9,131,In Stock,Walking Aids,2025-07-02T08:56:05.304657,2025-07-06T08:59:04.015743
1029,Stability Walker,Stability Walker - High quality walking aids product designed for comfort and usability.,9235.32,INR,3.5,117,In Stock,Walking Aids,2025-07-02T08:56:05.304666,2025-07-06T08:59:04.015743
1030,Arcatron Lite Chair,Arcatron Lite Chair - High quality wheelchairs product designed for comfort and usability.,1942.6,INR,3.1,174,In Stock,Wheelchairs,2025-06-04T08:56:05.304686,2025-07-06T08:59:04.015743
1031,Frido Commode Wheelchair,Frido Commode Wheelchair - High quality bathroom aids product designed for comfort and usability.,10364.69,INR,3.4,72,Limited Stock,Bathroom Aids,2025-05-08T08:56:05.304696,2025-07-06T08:59:04.015743
1032,Anti-Tip Wheels,Anti-Tip Wheels - High quality mobility accessories product designed for comfort and usability.,7616.39,INR,4.6,418,Out of Stock,Mobility Accessories,2025-06-24T08:56:05.304712,2025-07-06T08:59:04.015743
1033,Frido Max Wheelchair,Frido Max Wheelchair - High quality wheelchairs product designed for comfort and usability.,10224.76,INR,3.7,215,Out of Stock,Wheelchairs,2025-05-12T08:56:05.304732,2025-07-06T08:59:04.015743
1034,Frido Max Wheelchair,Frido Max Wheelchair - High quality wheelchairs product designed for comfort and usability.,1847.58,INR,4.5,414,In Stock,Wheelchairs,2025-06-21T08:56:05.304743,2025-07-06T08:59:04.015743
1035,Arcatron Shower Chair,Arcatron Shower Chair - High quality bathroom aids product designed for comfort and usability.,8507.0,INR,3.3,98,Out of Stock,Bathroom Aids,2025-06-07T08:56:05.304752,2025-07-06T08:59:04.015743
1036,Arcatron Shower Chair,Arcatron Shower Chair - High quality bathroom aids product designed for comfort and usability.,7202.83,INR,4.7,286,In Stock,Bathroom Aids,2025-07-03T08:56:05.304762,2025-07-06T08:59:04.015743
1037,Wheelchair Gloves,Wheelchair Gloves - High quality mobility accessories product designed for comfort and usability.,14564.95,INR,4.9,439,In Stock,Mobility Accessories,2025-06-26T08:56:05.304771,2025-07-06T08:59:04.015743
1038,Orthopedic Backrest,Orthopedic Backrest - High quality support cushions product designed for comfort and usability.,7738.02,INR,4.7,467,In Stock,Support Cushions,2025-06-26T08:56:05.304780,2025-07-06T08:59:04.015743
1039,Memory Foam Seat Cushion,Memory Foam Seat Cushion - High quality support cushions product designed for comfort and usability.,14793.32,INR,3.5,406,Out of Stock,Support Cushions,2025-06-18T08:56:05.304791,2025-07-06T08:59:04.015743
1040,Comfort Ring Pillow,Comfort Ring Pillow - High quality support cushions product designed for comfort and usability.,14401.45,INR,5.0,289,Limited Stock,Support Cushions,2025-05-22T08:56:05.304805,2025-07-06T08:59:04.015743
